participant_id	WJ-III_WordID_Raw	WJ-III_WordID_StS	WJ-III_WA_Raw	WJ-III_WA_StS	WJ-III_PassComp_Raw	WJ-III_PassComp_StS	WJ-III_MathFluency_Raw	WJ-III_MathFluency_StS	WJ-III_SpatialRelations_Raw	WJ-III_SpatialRelations_Letter	WJ-III_SpatialRelations_StS	WJ-III_BRS_Sts
sub-001	n/a	n/a	n/a	n/a	n/a	n/a	115	131	n/a	n/a	n/a	n/a
sub-002	n/a	n/a	n/a	n/a	n/a	n/a	56	84	n/a	n/a	n/a	n/a
sub-003	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-004	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-005	n/a	n/a	n/a	n/a	n/a	n/a	134	119	n/a	n/a	n/a	n/a
sub-006	n/a	n/a	n/a	n/a	n/a	n/a	79	105	n/a	n/a	n/a	n/a
sub-007	n/a	n/a	n/a	n/a	n/a	n/a	102	111	n/a	n/a	n/a	n/a
sub-008	n/a	n/a	n/a	n/a	n/a	n/a	122	108	n/a	n/a	n/a	n/a
sub-009	n/a	n/a	n/a	n/a	n/a	n/a	101	115	n/a	n/a	n/a	n/a
sub-010	n/a	n/a	n/a	n/a	n/a	n/a	96	103	n/a	n/a	n/a	n/a
sub-011	n/a	n/a	n/a	n/a	n/a	n/a	136	138	n/a	n/a	n/a	n/a
sub-012	n/a	n/a	n/a	n/a	n/a	n/a	89	89	n/a	n/a	n/a	n/a
sub-013	n/a	n/a	n/a	n/a	n/a	n/a	110	100	n/a	n/a	n/a	n/a
sub-014	n/a	n/a	n/a	n/a	n/a	n/a	74	84	n/a	n/a	n/a	n/a
sub-015	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-016	n/a	n/a	n/a	n/a	n/a	n/a	138	114	n/a	n/a	n/a	n/a
sub-017	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-018	n/a	n/a	n/a	n/a	n/a	n/a	101	101	n/a	n/a	n/a	n/a
sub-019	n/a	n/a	n/a	n/a	n/a	n/a	115	112	n/a	n/a	n/a	n/a
sub-020	n/a	n/a	n/a	n/a	n/a	n/a	111	111	n/a	n/a	n/a	n/a
sub-021	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-022	n/a	n/a	n/a	n/a	n/a	n/a	80	82	n/a	n/a	n/a	n/a
sub-023	n/a	n/a	n/a	n/a	n/a	n/a	85	94	n/a	n/a	n/a	n/a
sub-024	n/a	n/a	n/a	n/a	n/a	n/a	86	102	n/a	n/a	n/a	n/a
sub-025	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-026	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-027	n/a	n/a	n/a	n/a	n/a	n/a	57	81	n/a	n/a	n/a	n/a
sub-028	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-029	n/a	n/a	n/a	n/a	n/a	n/a	65	88	n/a	n/a	n/a	n/a
sub-030	n/a	n/a	n/a	n/a	n/a	n/a	116	112	n/a	n/a	n/a	n/a
sub-031	n/a	n/a	n/a	n/a	n/a	n/a	67	81	n/a	n/a	n/a	n/a
sub-032	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-033	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-034	n/a	n/a	n/a	n/a	n/a	n/a	104	114	n/a	n/a	n/a	n/a
sub-035	n/a	n/a	n/a	n/a	n/a	n/a	94	101	n/a	n/a	n/a	n/a
sub-036	n/a	n/a	n/a	n/a	n/a	n/a	72	87	n/a	n/a	n/a	n/a
sub-037	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-038	n/a	n/a	n/a	n/a	n/a	n/a	110	100	n/a	n/a	n/a	n/a
sub-039	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-040	n/a	n/a	n/a	n/a	n/a	n/a	114	103	n/a	n/a	n/a	n/a
sub-041	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-042	n/a	n/a	n/a	n/a	n/a	n/a	69	87	n/a	n/a	n/a	n/a
sub-043	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-044	n/a	n/a	n/a	n/a	n/a	n/a	152	129	n/a	n/a	n/a	n/a
sub-045	n/a	n/a	n/a	n/a	n/a	n/a	63	87	n/a	n/a	n/a	n/a
sub-046	n/a	n/a	n/a	n/a	n/a	n/a	103	102	n/a	n/a	n/a	n/a
sub-047	n/a	n/a	n/a	n/a	n/a	n/a	62	82	n/a	n/a	n/a	n/a
sub-048	n/a	n/a	n/a	n/a	n/a	n/a	95	105	n/a	n/a	n/a	n/a
sub-049	n/a	n/a	n/a	n/a	n/a	n/a	84	95	n/a	n/a	n/a	n/a
sub-050	n/a	n/a	n/a	n/a	n/a	n/a	122	129	n/a	n/a	n/a	n/a
sub-051	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-052	n/a	n/a	n/a	n/a	n/a	n/a	55	70	n/a	n/a	n/a	n/a
sub-053	n/a	n/a	n/a	n/a	n/a	n/a	95	95	n/a	n/a	n/a	n/a
sub-054	n/a	n/a	n/a	n/a	n/a	n/a	117	103	n/a	n/a	n/a	n/a
sub-055	n/a	n/a	n/a	n/a	n/a	n/a	83	95	n/a	n/a	n/a	n/a
sub-056	n/a	n/a	n/a	n/a	n/a	n/a	87	103	n/a	n/a	n/a	n/a
sub-057	n/a	n/a	n/a	n/a	n/a	n/a	89	107	n/a	n/a	n/a	n/a
sub-058	n/a	n/a	n/a	n/a	n/a	n/a	57	81	n/a	n/a	n/a	n/a
sub-059	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-060	n/a	n/a	n/a	n/a	n/a	n/a	59	77	n/a	n/a	n/a	n/a
sub-061	n/a	n/a	n/a	n/a	n/a	n/a	90	97	n/a	n/a	n/a	n/a
sub-062	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-063	n/a	n/a	n/a	n/a	n/a	n/a	57	n/a	n/a	n/a	n/a	n/a
sub-064	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-065	n/a	n/a	n/a	n/a	n/a	n/a	54	76	n/a	n/a	n/a	n/a
sub-066	n/a	n/a	n/a	n/a	n/a	n/a	52	80	n/a	n/a	n/a	n/a
sub-067	n/a	n/a	n/a	n/a	n/a	n/a	53	66	n/a	n/a	n/a	n/a
sub-068	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-069	n/a	n/a	n/a	n/a	n/a	n/a	82	83	n/a	n/a	n/a	n/a
sub-070	n/a	n/a	n/a	n/a	n/a	n/a	77	82	n/a	n/a	n/a	n/a
sub-071	n/a	n/a	n/a	n/a	n/a	n/a	43	78	n/a	n/a	n/a	n/a
sub-072	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-073	n/a	n/a	n/a	n/a	n/a	n/a	57	82	n/a	n/a	n/a	n/a
sub-074	n/a	n/a	n/a	n/a	n/a	n/a	54	69	n/a	n/a	n/a	n/a
sub-075	n/a	n/a	n/a	n/a	n/a	n/a	82	83	n/a	n/a	n/a	n/a
sub-076	n/a	n/a	n/a	n/a	n/a	n/a	88	97	n/a	n/a	n/a	n/a
sub-077	n/a	n/a	n/a	n/a	n/a	n/a	70	92	n/a	n/a	n/a	n/a
sub-078	n/a	n/a	n/a	n/a	n/a	n/a	60	75	n/a	n/a	n/a	n/a
sub-079	n/a	n/a	n/a	n/a	n/a	n/a	100	96	n/a	n/a	n/a	n/a
sub-080	n/a	n/a	n/a	n/a	n/a	n/a	70	95	n/a	n/a	n/a	n/a
sub-081	n/a	n/a	n/a	n/a	n/a	n/a	47	69	n/a	n/a	n/a	n/a
sub-082	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-083	n/a	n/a	n/a	n/a	n/a	n/a	56	74	n/a	n/a	n/a	n/a
sub-084	n/a	n/a	n/a	n/a	n/a	n/a	51	75	n/a	n/a	n/a	n/a
sub-085	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-086	n/a	n/a	n/a	n/a	n/a	n/a	53	69	n/a	n/a	n/a	n/a
sub-087	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-088	n/a	n/a	n/a	n/a	n/a	n/a	45	72	n/a	n/a	n/a	n/a
sub-089	n/a	n/a	n/a	n/a	n/a	n/a	47	74	n/a	n/a	n/a	n/a
sub-090	n/a	n/a	n/a	n/a	n/a	n/a	79	85	n/a	n/a	n/a	n/a
sub-091	n/a	n/a	n/a	n/a	n/a	n/a	111	103	n/a	n/a	n/a	n/a
sub-092	n/a	n/a	n/a	n/a	n/a	n/a	55	76	n/a	n/a	n/a	n/a
sub-093	n/a	n/a	n/a	n/a	n/a	n/a	62	86	n/a	n/a	n/a	n/a
sub-094	n/a	n/a	n/a	n/a	n/a	n/a	92	92	n/a	n/a	n/a	n/a
sub-095	n/a	n/a	n/a	n/a	n/a	n/a	41	65	n/a	n/a	n/a	n/a
sub-096	n/a	n/a	n/a	n/a	n/a	n/a	58	78	n/a	n/a	n/a	n/a
sub-097	n/a	n/a	n/a	n/a	n/a	n/a	105	109	n/a	n/a	n/a	n/a
sub-098	n/a	n/a	n/a	n/a	n/a	n/a	46	78	n/a	n/a	n/a	n/a
sub-099	n/a	n/a	n/a	n/a	n/a	n/a	88	101	n/a	n/a	n/a	n/a
sub-100	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-101	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-102	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-103	n/a	n/a	n/a	n/a	n/a	n/a	61	85	n/a	n/a	n/a	n/a
sub-104	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-105	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-106	n/a	n/a	n/a	n/a	n/a	n/a	62	76	n/a	n/a	n/a	n/a
sub-107	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-108	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-109	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-110	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-111	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-112	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-113	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-114	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-115	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-116	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-117	n/a	n/a	n/a	n/a	n/a	n/a	105	101	n/a	n/a	n/a	n/a
sub-118	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-119	n/a	n/a	n/a	n/a	n/a	n/a	76	87	n/a	n/a	n/a	n/a
sub-120	n/a	n/a	n/a	n/a	n/a	n/a	94	97	n/a	n/a	n/a	n/a
sub-121	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-122	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-123	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-124	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-125	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-126	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-127	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-128	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-129	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-130	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-131	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-132	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
